            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,                     LT,                     RG,                     RR,
**************************************************************************************************************************************************************************************************************************************************************************
$$SOE
2459786.500000000, A.D. 2022-Jul-26 00:00:00.0000, -1.353692770419669E+06,  2.298873916236488E+05,  2.968033905342559E+04, -1.761335496457339E-03, -1.574769013128095E-02,  1.606889855325904E-04,  4.581151908212336E+00,  1.373394791034366E+06, -8.964057421827296E-04,
2459787.500000000, A.D. 2022-Jul-27 00:00:00.0000, -1.353843982609588E+06,  2.285267647291085E+05,  2.969420396459516E+04, -1.738951974069877E-03, -1.574829906656574E-02,  1.602578506719621E-04,  4.580892637423349E+00,  1.373317063607248E+06, -9.028355309047192E-04,
2459788.500000000, A.D. 2022-Jul-28 00:00:00.0000, -1.353993262196195E+06,  2.271660862235539E+05,  2.970803157827962E+04, -1.716598871532516E-03, -1.574888443880002E-02,  1.598256159664078E-04,  4.580631517547035E+00,  1.373238781837696E+06, -9.092381066339838E-04,
2459789.500000000, A.D. 2022-Jul-29 00:00:00.0000, -1.354140611704339E+06,  2.258053582440900E+05,  2.972182179989741E+04, -1.694273906115758E-03, -1.574944391095648E-02,  1.593923018960615E-04,  4.580368556143485E+00,  1.373159947992166E+06, -9.156153244067528E-04,
2459790.500000000, A.D. 2022-Jul-30 00:00:00.0000, -1.354286033489222E+06,  2.244445831266960E+05,  2.973557453905229E+04, -1.671975418560867E-03, -1.574997523014214E-02,  1.589579823645139E-04,  4.580103760325450E+00,  1.373080564203009E+06, -9.219684504764541E-04,
2459791.500000000, A.D. 2022-Jul-31 00:00:00.0000, -1.354429529786387E+06,  2.230837633957883E+05,  2.974928971353199E+04, -1.649702283311150E-03, -1.575047629681191E-02,  1.585227707506529E-04,  4.579837136913652E+00,  1.373000632515026E+06, -9.282982612530641E-04,
2459792.500000000, A.D. 2022-Aug-01 00:00:00.0000, -1.354571102753914E+06,  2.217229017488018E+05,  2.976296725217946E+04, -1.627453816978500E-03, -1.575094521160519E-02,  1.580868076236780E-04,  4.579568692564067E+00,  1.372920154923627E+06, -9.346051399842230E-04,
2459793.500000000, A.D. 2022-Aug-02 00:00:00.0000, -1.354710754507085E+06,  2.203620010375873E+05,  2.977660709680848E+04, -1.605229703530206E-03, -1.575138030260689E-02,  1.576502515886289E-04,  4.579298433869090E+00,  1.372839133405165E+06, -9.408891535279529E-04,
2459794.500000000, A.D. 2022-Aug-03 00:00:00.0000, -1.354848487147167E+06,  2.190010642480319E+05,  2.979020920342773E+04, -1.583029920072151E-03, -1.575178014073430E-02,  1.572132711523105E-04,  4.579026367438811E+00,  1.372757569941292E+06, -9.471501265309317E-04,
2459795.500000000, A.D. 2022-Aug-04 00:00:00.0000, -1.354984302783796E+06,  2.176400944788437E+05,  2.980377354280463E+04, -1.560854674470579E-03, -1.575214354340015E-02,  1.567760386298614E-04,  4.578752499961241E+00,  1.372675466537025E+06, -9.533877020071359E-04,
2459796.500000000, A.D. 2022-Aug-05 00:00:00.0000, -1.355118203552539E+06,  2.162790949203543E+05,  2.981730010058089E+04, -1.538704350621245E-03, -1.575246957118535E-02,  1.563387253201700E-04,  4.578476838247105E+00,  1.372592825234168E+06, -9.596013932894710E-04,
2459797.500000000, A.D. 2022-Aug-06 00:00:00.0000, -1.355250191628020E+06,  2.149180688338573E+05,  2.983078887701908E+04, -1.516579461569209E-03, -1.575275751908295E-02,  1.559014978415934E-04,  4.578199389260762E+00,  1.372509648120583E+06, -9.657906274436339E-04,
2459798.500000000, A.D. 2022-Aug-07 00:00:00.0000, -1.355380269233319E+06,  2.135570195318610E+05,  2.984423988647416E+04, -1.494480609825306E-03, -1.575300690432573E-02,  1.554645154029591E-04,  4.577920160139731E+00,  1.372425937336044E+06, -9.719547811383962E-04,
2459799.500000000, A.D. 2022-Aug-08 00:00:00.0000, -1.355508438646214E+06,  2.121959503594949E+05,  2.985765315666315E+04, -1.472408454000866E-03, -1.575321745205537E-02,  1.550279278270976E-04,  4.577639158204837E+00,  1.372341695075279E+06, -9.780932100545000E-04,
2459800.500000000, A.D. 2022-Aug-09 00:00:00.0000, -1.355634702202790E+06,  2.108348646772106E+05,  2.987102872779086E+04, -1.450363680938899E-03, -1.575338907980629E-02,  1.545918741725633E-04,  4.577356390962690E+00,  1.372256923588714E+06, -9.842052728045547E-04,
2459801.500000000, A.D. 2022-Aug-10 00:00:00.0000, -1.355759062298845E+06,  2.094737658448480E+05,  2.988436665157757E+04, -1.428346982579892E-03, -1.575352188152960E-02,  1.541564818248386E-04,  4.577071866101956E+00,  1.372171625181352E+06, -9.902903502316330E-04,
2459802.500000000, A.D. 2022-Aug-11 00:00:00.0000, -1.355881521389484E+06,  2.081126572070829E+05,  2.989766699022466E+04, -1.406359036863622E-03, -1.575361611167231E-02,  1.537218659511128E-04,  4.576785591484645E+00,  1.372085802210166E+06, -9.963478608542727E-04,
2459803.500000000, A.D. 2022-Aug-12 00:00:00.0000, -1.356002081987202E+06,  2.067515420802340E+05,  2.991092981534566E+04, -1.384400492034943E-03, -1.575367216965430E-02,  1.532881292329816E-04,  4.576497575133415E+00,  1.371999457080286E+06, -1.002377273130009E-03,
2459804.500000000, A.D. 2022-Aug-13 00:00:00.0000, -1.356120746658749E+06,  2.053904237403871E+05,  2.992415520688372E+04, -1.362471953791396E-03, -1.575369058494974E-02,  1.528553618085245E-04,  4.576207825215729E+00,  1.371912592240258E+06, -1.008378115117809E-03,
2459805.500000000, A.D. 2022-Aug-14 00:00:00.0000, -1.356237518020983E+06,  2.040293054127770E+05,  2.993734325203112E+04, -1.340573974783658E-03, -1.575367200288168E-02,  1.524236413700218E-04,  4.575916350025545E+00,  1.371825210176546E+06, -1.014349982031640E-03,
2459806.500000000, A.D. 2022-Aug-15 00:00:00.0000, -1.356352398735906E+06,  2.026681902623647E+05,  2.995049404416232E+04, -1.318707046056370E-03, -1.575361717117798E-02,  1.519930333751737E-04,  4.575623157963082E+00,  1.371737313407475E+06, -1.020292542092318E-03,
2459807.500000000, A.D. 2022-Aug-16 00:00:00.0000, -1.356465391505028E+06,  2.013070813855424E+05,  2.996360768178910E+04, -1.296871590096689E-03, -1.575352692731273E-02,  1.515635913388541E-04,  4.575328257513108E+00,  1.371648904476711E+06, -1.026205541002422E-03,
2459808.500000000, A.D. 2022-Aug-17 00:00:00.0000, -1.356576499063198E+06,  1.999459818028964E+05,  2.997668426754329E+04, -1.275067955241042E-03, -1.575340218667205E-02,  1.511353571786393E-04,  4.575031657222099E+00,  1.371559985946426E+06, -1.032088805289017E-03,
2459809.500000000, A.D. 2022-Aug-18 00:00:00.0000, -1.356685724171984E+06,  1.985848944529633E+05,  2.998972390719106E+04, -1.253296411063652E-03, -1.575324393132707E-02,  1.507083615976245E-04,  4.574733365674568E+00,  1.371470560390192E+06, -1.037942244847398E-03,
2459810.500000000, A.D. 2022-Aug-19 00:00:00.0000, -1.356793069612712E+06,  1.972238221869291E+05,  3.000272670868141E+04, -1.231557144692368E-03, -1.575305319953501E-02,  1.502826244913638E-04,  4.574433391468755E+00,  1.371380630385694E+06, -1.043765854751390E-03,
2459811.500000000, A.D. 2022-Aug-20 00:00:00.0000, -1.356898538179200E+06,  1.958627677642072E+05,  3.001569278123062E+04, -1.209850257779272E-03, -1.575283107578695E-02,  1.498581553680753E-04,  4.574131743191884E+00,  1.371290198507319E+06, -1.049559716567355E-03,
2459812.500000000, A.D. 2022-Aug-21 00:00:00.0000, -1.357002132670266E+06,  1.945017338488552E+05,  3.002862223444304E+04, -1.188175764029110E-03, -1.575257868136342E-02,  1.494349537753750E-04,  4.573828429395093E+00,  1.371199267318635E+06, -1.055323999257410E-03,
2459813.500000000, A.D. 2022-Aug-22 00:00:00.0000, -1.357103855882039E+06,  1.931407230067888E+05,  3.004151517746918E+04, -1.166533587165777E-03, -1.575229716531083E-02,  1.490130097325402E-04,  4.573523458568165E+00,  1.371107839364811E+06, -1.061058959773575E-03,
2459814.500000000, A.D. 2022-Aug-23 00:00:00.0000, -1.357203710600107E+06,  1.917797377037605E+05,  3.005437171820122E+04, -1.144923559237392E-03, -1.575198769575642E-02,  1.485923041648725E-04,  4.573216839114093E+00,  1.371015917165004E+06, -1.066764943426039E-03,
2459815.500000000, A.D. 2022-Aug-24 00:00:00.0000, -1.357301699591537E+06,  1.904187803040765E+05,  3.006719196250619E+04, -1.123345419192075E-03, -1.575165145147573E-02,  1.481728093413025E-04,  4.572908579323602E+00,  1.370923503204711E+06, -1.072442384077753E-03,
2459816.500000000, A.D. 2022-Aug-25 00:00:00.0000, -1.357397825596772E+06,  1.890578530700348E+05,  3.007997601349707E+04, -1.101798811669320E-03, -1.575128961362555E-02,  1.477544893175005E-04,  4.572598687349607E+00,  1.370830599928112E+06, -1.078091804205630E-03,
2459817.500000000, A.D. 2022-Aug-26 00:00:00.0000, -1.357492091321442E+06,  1.876969581620733E+05,  3.009272397084278E+04, -1.080283285965152E-03, -1.575090335755431E-02,  1.473373003882065E-04,  4.572287171181677E+00,  1.370737209730422E+06, -1.083713814856060E-03,
2459818.500000000, A.D. 2022-Aug-27 00:00:00.0000, -1.357584499428084E+06,  1.863360976396262E+05,  3.010543593011742E+04, -1.058798295143081E-03, -1.575049384459885E-02,  1.469211915537368E-04,  4.571974038620536E+00,  1.370643334950237E+06, -1.089309115509240E-03,
2459819.500000000, A.D. 2022-Aug-28 00:00:00.0000, -1.357675052527796E+06,  1.849752734626917E+05,  3.011811198219120E+04, -1.037343195277207E-03, -1.575006221377340E-02,  1.465061050072861E-04,  4.571659297252596E+00,  1.370548977861908E+06, -1.094878493852934E-03,
